,Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
82335,2021,LA,Louisiana,Iberville,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,13.9,,,11.9,16.0,29824,22047,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-91.3658718 30.2706526)
82344,2021,LA,Louisiana,Bossier,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,3.5,,,3.1,3.9,129144,22015,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-93.6265609 32.6984813)
82347,2021,LA,Louisiana,Morehouse,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,34.4,,,29.8,39.5,25025,22067,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-91.8003988 32.8200082)
82351,2021,LA,Louisiana,Grant,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,18.0,,,14.6,21.7,22236,22043,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-92.5617156 31.5977873)
82352,2020,LA,Louisiana,Madison,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,75.5,,,72.1,78.9,9799,22065,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-91.2319321 32.3468782)
82354,2020,LA,Louisiana,West Feliciana,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,13.8,,,9.8,18.1,15494,22125,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-91.421776 30.8733639)
82356,2021,LA,Louisiana,St. Bernard,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,22.4,,,19.3,25.6,44258,22087,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-89.2634941 29.9181102)
82359,2021,LA,Louisiana,Bossier,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,33.1,,,28.8,37.8,129144,22015,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-93.6265609 32.6984813)
82363,2021,LA,Louisiana,Iberville,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,33.0,,,28.4,37.9,29824,22047,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-91.3658718 30.2706526)
82364,2021,LA,Louisiana,St. Landry,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,5.0,,,4.5,5.6,82071,22097,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-91.9892745 30.5834409)
82372,2021,LA,Louisiana,Webster,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,10.1,,,8.9,11.4,36184,22119,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-93.3398245 32.7321522)
82375,2021,LA,Louisiana,Allen,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,14.5,,,12.6,16.7,22687,22003,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-92.8196052 30.6527435)
82378,2021,LA,Louisiana,West Carroll,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,22.1,,,19.1,25.4,9594,22123,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-91.4519982 32.7924797)
82379,2021,LA,Louisiana,Caddo,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,24.0,,,20.9,27.5,233092,22017,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-93.8849698 32.5801062)
82382,2021,LA,Louisiana,St. Helena,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.9,,,5.3,6.5,10912,22091,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-90.7083074 30.8225386)
82383,2021,LA,Louisiana,Grant,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,14.0,,,12.1,16.2,22236,22043,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health,POINT (-92.5617156 31.5977873)
82385,2021,LA,Louisiana,East Feliciana,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,78.8,,,73.6,82.7,19338,22037,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-91.0434338 30.8397837)
82387,2021,LA,Louisiana,Avoyelles,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Age-adjusted prevalence,65.0,,,60.0,69.7,39236,22009,PREVENT,BPMED,AgeAdjPrv,Taking BP Medication,POINT (-91.9832748 31.088503)
82401,2021,LA,Louisiana,Pointe Coupee,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,15.5,,,13.3,17.8,20356,22077,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-91.6046207 30.708319)
82403,2021,LA,Louisiana,Grant,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,76.0,,,71.0,80.7,22236,22043,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-92.5617156 31.5977873)
82413,2020,LA,Louisiana,West Feliciana,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,76.4,,,72.3,80.0,15494,22125,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-91.421776 30.8733639)
82414,2020,LA,Louisiana,Red River,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,40.9,,,39.5,42.2,7564,22081,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-93.3490504 32.1012125)
82422,2021,LA,Louisiana,Red River,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Crude prevalence,41.4,,,36.4,46.4,7564,22081,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol,POINT (-93.3490504 32.1012125)
82427,2021,LA,Louisiana,Bossier,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,3.0,,,2.8,3.4,129144,22015,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-93.6265609 32.6984813)
82433,2021,LA,Louisiana,Winn,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,40.6,,,35.9,45.5,13488,22127,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-92.6412694 31.9411871)
82434,2021,LA,Louisiana,Caddo,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,7.9,,,6.9,9.0,233092,22017,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-93.8849698 32.5801062)
82436,2020,LA,Louisiana,Bienville,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,40.3,,,39.1,41.6,12776,22013,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-93.0411511 32.3409517)
82438,2021,LA,Louisiana,Vermilion,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,10.1,,,8.5,11.8,57204,22113,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-92.2915678 29.7897222)
82440,2021,LA,Louisiana,Morehouse,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,82.1,,,79.4,84.6,25025,22067,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-91.8003988 32.8200082)
82445,2020,LA,Louisiana,Livingston,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,71.6,,,68.2,74.8,145830,22063,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening,POINT (-90.7274738 30.4404194)
82446,2020,LA,Louisiana,Lincoln,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,15.2,,,10.9,19.8,48152,22061,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-92.6623026 32.6018231)
82461,2020,LA,Louisiana,St. Charles,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,34.6,,,33.0,36.1,52282,22089,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-90.3578553 29.9057222)
82463,2021,LA,Louisiana,Jackson,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,10.5,,,9.2,12.0,14876,22049,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-92.5616997 32.3042901)
82465,2021,LA,Louisiana,St. Landry,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,13.2,,,11.4,15.2,82071,22097,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-91.9892745 30.5834409)
82468,2021,LA,Louisiana,Union,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,10.8,,,8.6,13.1,21091,22111,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-92.3756501 32.8293486)
82469,2021,LA,Louisiana,Lincoln,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Age-adjusted prevalence,84.8,,,81.9,87.5,48152,22061,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-92.6623026 32.6018231)
82472,2021,LA,Louisiana,Catahoula,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,26.3,,,22.5,30.0,8805,22025,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-91.846703 31.666517)
82475,2020,LA,Louisiana,Jackson,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,34.3,,,28.2,40.5,14876,22049,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-92.5616997 32.3042901)
82483,2020,LA,Louisiana,Caldwell,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,52.0,,,48.4,55.8,9571,22021,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-92.1142311 32.1012195)
82484,2021,LA,Louisiana,St. Helena,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,9.5,,,8.3,10.8,10912,22091,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-90.7083074 30.8225386)
82485,2021,LA,Louisiana,Catahoula,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,12.4,,,10.7,14.2,8805,22025,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-91.846703 31.666517)
82504,2021,LA,Louisiana,Richland,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,20.6,,,17.9,23.5,19805,22083,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-91.7483534 32.413158)
82506,2020,LA,Louisiana,Jefferson,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,84.0,,,82.2,85.7,433688,22051,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-90.036231 29.5033)
82514,2021,LA,Louisiana,Calcasieu,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,9.3,,,7.2,11.5,205282,22019,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-93.3580154 30.2295588)
82516,2021,LA,Louisiana,Acadia,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,39.3,,,34.5,44.1,57288,22001,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-92.4110366 30.291497)
82523,2021,LA,Louisiana,Lafourche,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,9.2,,,7.7,11.0,97504,22057,HLTHOUT,COPD,CrdPrv,COPD,POINT (-90.394849 29.4919925)
82525,2021,LA,Louisiana,Plaquemines,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,18.8,,,16.3,21.4,23303,22075,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-89.5760676 29.282447)
82527,2020,LA,Louisiana,St. James,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,82.7,,,80.7,84.5,19742,22093,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-90.7939562 30.0247772)
82528,2020,LA,Louisiana,Caldwell,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,36.2,,,34.8,37.6,9571,22021,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-92.1142311 32.1012195)
82533,2021,LA,Louisiana,Avoyelles,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,43.1,,,35.1,51.2,39236,22009,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-91.9832748 31.088503)
82547,2021,LA,Louisiana,Lincoln,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.7,,,5.1,6.3,48152,22061,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-92.6623026 32.6018231)
82549,2021,LA,Louisiana,St. Bernard,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.7,,,9.4,12.3,44258,22087,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-89.2634941 29.9181102)
82553,2021,LA,Louisiana,West Feliciana,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,14.7,,,12.3,17.5,15494,22125,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-91.421776 30.8733639)
82555,2021,LA,Louisiana,Terrebonne,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,18.3,,,15.0,21.7,108708,22109,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-90.8436739 29.3341299)
82559,2021,LA,Louisiana,Caddo,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,78.7,,,74.7,82.5,233092,22017,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-93.8849698 32.5801062)
82563,2021,LA,Louisiana,Winn,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,11.3,,,9.8,13.1,13488,22127,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-92.6412694 31.9411871)
82567,2021,LA,Louisiana,Red River,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,20.3,,,17.6,23.0,7564,22081,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,POINT (-93.3490504 32.1012125)
82570,2021,LA,Louisiana,Claiborne,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,10.7,,,9.4,12.2,14038,22027,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-92.9897278 32.8271597)
82573,2020,LA,Louisiana,Bossier,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,74.7,,,72.1,77.3,129144,22015,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-93.6265609 32.6984813)
82577,2021,LA,Louisiana,Allen,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Age-adjusted prevalence,76.3,,,71.1,80.9,22687,22003,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-92.8196052 30.6527435)
82584,2021,LA,Louisiana,St. Mary,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,39.1,,,32.2,46.4,48232,22101,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-91.4638037 29.6293488)
82589,2021,LA,Louisiana,Jefferson,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.4,,,6.7,8.2,433688,22051,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-90.036231 29.5033)
82595,2021,LA,Louisiana,Ouachita,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,34.3,,,29.7,39.0,158768,22073,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-92.1515814 32.480932)
82597,2021,LA,Louisiana,Assumption,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Age-adjusted prevalence,3.3,,,3.0,3.7,20689,22007,HLTHOUT,KIDNEY,AgeAdjPrv,Chronic Kidney Disease,POINT (-91.0652194 29.9032998)
82602,2021,LA,Louisiana,St. Bernard,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,32.5,,,27.2,38.0,44258,22087,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-89.2634941 29.9181102)
82604,2021,LA,Louisiana,St. Landry,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,7.1,,,6.3,8.1,82071,22097,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-91.9892745 30.5834409)
82605,2021,LA,Louisiana,Webster,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,9.9,,,8.6,11.2,36184,22119,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-93.3398245 32.7321522)
82611,2021,LA,Louisiana,Orleans,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,6.4,,,5.6,7.2,376971,22071,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-89.9345018 30.0534195)
82615,2021,LA,Louisiana,Allen,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,5.2,,,4.6,6.0,22687,22003,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-92.8196052 30.6527435)
82619,2020,LA,Louisiana,St. Mary,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,76.4,,,73.4,79.1,48232,22101,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-91.4638037 29.6293488)
82625,2021,LA,Louisiana,Acadia,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,7.0,,,6.0,8.0,57288,22001,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-92.4110366 30.291497)
82626,2021,LA,Louisiana,Caldwell,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,4.7,,,4.2,5.3,9571,22021,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-92.1142311 32.1012195)
82629,2021,LA,Louisiana,Lincoln,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,6.1,,,5.3,6.9,48152,22061,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-92.6623026 32.6018231)
82630,2021,LA,Louisiana,Tensas,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,10.5,,,9.1,12.1,4043,22107,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-91.342576 32.0014894)
82633,2021,LA,Louisiana,Livingston,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Crude prevalence,28.2,,,23.6,33.3,145830,22063,RISKBEH,LPA,CrdPrv,Physical Inactivity,POINT (-90.7274738 30.4404194)
82639,2021,LA,Louisiana,Richland,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,10.1,,,8.5,11.7,19805,22083,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-91.7483534 32.413158)
82643,2021,LA,Louisiana,Morehouse,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,5.6,,,5.0,6.3,25025,22067,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-91.8003988 32.8200082)
82644,2021,LA,Louisiana,Lafayette,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,30.2,,,26.0,34.6,244205,22055,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-92.06417 30.2065065)
82648,2021,LA,Louisiana,Jefferson Davis,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,10.1,,,7.8,12.7,32345,22053,PREVENT,ACCESS2,CrdPrv,Health Insurance,POINT (-92.8162205 30.2695293)
82652,2021,LA,Louisiana,Jefferson,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,15.0,,,13.0,17.1,433688,22051,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-90.036231 29.5033)
82654,2021,LA,Louisiana,Madison,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,8.2,,,7.2,9.3,9799,22065,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability,POINT (-91.2319321 32.3468782)
82657,2021,LA,Louisiana,Lafourche,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,18.5,,,15.8,21.3,97504,22057,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-90.394849 29.4919925)
82663,2021,LA,Louisiana,Sabine,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,33.4,,,28.0,39.2,22135,22085,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-93.5595793 31.5604024)
82665,2021,LA,Louisiana,Concordia,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,26.7,,,22.4,31.4,18376,22029,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-91.626315 31.4698053)
82668,2021,LA,Louisiana,Franklin,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,9.4,,,8.1,10.6,19668,22041,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-91.6723711 32.1390764)
82670,2021,LA,Louisiana,Lincoln,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,19.6,,,16.6,22.9,48152,22061,HLTHSTAT,GHLTH,CrdPrv,General Health,POINT (-92.6623026 32.6018231)
82673,2021,LA,Louisiana,Tensas,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Age-adjusted prevalence,29.0,,,24.8,33.3,4043,22107,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-91.342576 32.0014894)
82689,2021,LA,Louisiana,Vernon,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,19.6,,,16.7,22.5,48027,22115,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-93.18833 31.1028407)
82696,2021,LA,Louisiana,Jefferson Davis,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,10.3,,,8.9,11.8,32345,22053,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-92.8162205 30.2695293)
82697,2021,LA,Louisiana,Claiborne,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,44.0,,,38.8,49.5,14038,22027,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-92.9897278 32.8271597)
82707,2021,LA,Louisiana,Bossier,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,37.6,,,31.0,44.9,129144,22015,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-93.6265609 32.6984813)
82714,2021,LA,Louisiana,St. Mary,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,12.7,,,10.4,15.2,48232,22101,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-91.4638037 29.6293488)
82718,2021,LA,Louisiana,St. Martin,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,30.1,,,25.1,35.5,51540,22099,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-91.6114814 30.1214329)
82733,2021,LA,Louisiana,Beauregard,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,28.4,,,23.7,34.0,36584,22011,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity,POINT (-93.3402526 30.6450184)
82737,2021,LA,Louisiana,St. Bernard,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.2,,,5.6,6.9,44258,22087,HLTHOUT,CANCER,CrdPrv,Cancer (except skin),POINT (-89.2634941 29.9181102)
82741,2021,LA,Louisiana,St. Landry,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,16.1,,,13.3,19.5,82071,22097,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-91.9892745 30.5834409)
82742,2021,LA,Louisiana,Beauregard,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,33.6,,,28.7,38.8,36584,22011,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-93.3402526 30.6450184)
82745,2021,LA,Louisiana,Union,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,9.5,,,8.4,10.7,21091,22111,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-92.3756501 32.8293486)
82746,2020,LA,Louisiana,Evangeline,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,70.7,,,66.6,74.8,32215,22039,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-92.4040858 30.7206932)
82756,2021,LA,Louisiana,Rapides,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,6.3,,,5.5,7.4,128654,22079,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-92.5359531 31.1932037)
82760,2020,LA,Louisiana,West Baton Rouge,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,76.8,,,73.5,80.1,27792,22121,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-91.309808 30.4640516)
82765,2020,LA,Louisiana,Madison,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Age-adjusted prevalence,80.5,,,78.2,82.7,9799,22065,PREVENT,CERVICAL,AgeAdjPrv,Cervical Cancer Screening,POINT (-91.2319321 32.3468782)
82770,2021,LA,Louisiana,Washington,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,40.6,,,36.3,44.8,45133,22117,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-90.0462534 30.8521435)
